words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
peralvilho,+,0,0,1,4
catita,+,0,0,2,3
casamento,+,0,0,1,1
aliança,+,0,0,1,0
meigo,+,0,0,6,3
malgável,+,0,0,2,3
celebrante,U,0,0,0,-1
oficiante,U,0,0,0,-1
rataria,-,1,0,0,4
ratice,-,2,0,0,3
crescimento,0,0,1,0,1
desenvolvimento,0,0,1,0,0
auxílio,+,0,0,1,0
contributo,+,0,0,1,1
adulação,-,1,0,0,4
abajoujamento,-,2,0,0,4
logro,-,1,0,0,0
empandeiramento,-,1,0,0,1
cruel,-,6,0,0,2
funesto,-,1,0,0,1
agigantado,0,0,1,0,3
atlante,0,0,2,0,3
reanimar,+,0,0,3,3
refazer,0,0,4,3,3
incorpóreo,U,0,0,0,4
espiritual,U,0,0,0,3
tremura,-,2,0,0,3
tiritação,-,1,0,0,4
arquitecto,U,0,0,0,-1
alquitete,U,0,0,0,-1
tunda,+,0,0,4,3
muxinga,+,0,0,2,3
reprodutível,U,0,0,0,-1
reproduzível,U,0,0,0,-1
afligir-se,-,3,2,1,3
inquietar,A,1,1,1,3
princípio,+,0,3,10,3
infância,+,0,0,2,4
esticar,+,0,1,4,3
repuxar,+,0,0,1,4
fantasia,-,6,1,4,3
romance,A,2,0,2,4
inferior,A,1,1,0,3
ínfero,-,1,0,0,4
arranjo,A,1,0,1,1
acondicionamento,U,0,0,0,2
oferta,+,0,0,1,3
ofertório,+,0,0,2,4
tributar,0,0,3,0,2
colectar,0,0,1,0,3
vingar,0,1,3,2,3
desafrontar,0,1,4,0,4
bostela,A,1,0,1,4
posteja,U,0,0,0,5
afastar-se,A,0,2,2,3
distanciar,0,0,2,1,4
velharia,0,0,1,0,3
velhada,0,0,1,0,4
imparcialidade,+,0,0,3,4
equidade,+,0,0,3,4
excipiente,+,0,0,1,3
base,+,0,0,4,2
sufocação,+,1,0,2,4
estrangulação,-,2,0,1,4
aclimatar-se,0,0,1,0,5
costumar,0,0,1,0,4
pique,+,2,0,3,3
pica,+,0,0,1,3
tremedal,-,3,0,0,4
lamaçal,-,3,0,0,4
dificuldade,-,6,0,0,2
quê,-,2,0,0,3
apoiado,+,0,0,2,3
atido,+,0,0,1,4
menor,U,0,0,0,4
periférico,U,0,0,0,4
sabichona,U,0,0,0,-1
mestrona,U,0,0,0,-1
espantado,0,1,2,0,4
surpreendido,A,1,1,0,4
oleoso,-,2,0,0,4
unguinoso,-,2,0,0,4
criador,+,0,1,5,4
criativo,A,1,2,2,4
antes,0,0,1,0,4
atrás,0,0,1,0,5
pontualidade,-,3,0,0,2
severidade,-,2,0,0,1
mícron,U,0,0,0,-1
micro,U,0,0,0,-1
furúnculo,0,0,1,0,3
nascida,0,0,1,0,4
caudalosamente,-,1,0,0,6
torrencialmente,-,1,0,0,5
agudeza,+,0,0,1,1
habilidade,+,0,0,1,0
xantoleucito,U,0,0,0,-1
xantoplasta,U,0,0,0,-1
atravancar,A,0,1,1,3
embarrancar,0,0,2,0,4
remover,0,0,5,1,3
demover,0,0,2,1,3
tensão,+,0,0,1,3
tom,+,1,0,2,2
secar,-,4,3,1,3
cicatrizar,-,2,1,0,3
beatério,U,0,0,0,-1
devocionismo,U,0,0,0,-1
admitir,A,0,1,1,2
sofrer,0,0,2,1,2
chiste,+,0,1,2,2
largada,0,0,1,0,2
chupeta,0,0,1,0,0
pepa,0,0,1,0,1
merenda,0,0,1,0,5
merendeiro,0,0,1,0,6
resumidor,U,0,0,0,-1
abreviador,U,0,0,0,-1
esvaziar,0,1,3,0,3
achicar,0,0,2,0,4
produzir,0,0,2,0,1
chover,0,0,1,0,0
marijuana,-,1,0,0,5
suruma,-,1,0,0,6
defecar,0,0,1,0,1
